Date, free, total, cpu, remote
Wed Apr 04 00:02:33 PDT 2012, 2151, 2380, -1.0, 10.64.3.11
Wed Apr 04 00:07:56 PDT 2012, 1775, 2380, -1.0, 10.64.3.11
Wed Apr 04 04:33:50 PDT 2012, 2201, 2380, -1.0, 10.64.3.11
Wed Apr 04 08:41:20 PDT 2012, 2303, 2380, -1.0, 10.2.160.250
Thu Apr 05 02:36:05 PDT 2012, 2336, 2380, -1.0, 10.2.160.250
Fri Apr 06 07:39:13 PDT 2012, 2323, 2380, -1.0, 10.33.60.24
Fri Apr 06 13:29:55 PDT 2012, 2226, 2380, -1.0, 172.18.240.57
Fri Apr 06 13:35:15 PDT 2012, 2213, 2380, -1.0, 172.18.240.57
Fri Apr 06 13:39:24 PDT 2012, 2069, 2380, -1.0, 172.18.240.57
Fri Apr 06 13:47:03 PDT 2012, 2276, 6374, -1.0, 172.18.240.57
Fri Apr 06 14:02:02 PDT 2012, 1883, 6552, -1.0, 172.18.240.57
Fri Apr 06 14:36:02 PDT 2012, 1742, 6552, -1.0, 172.18.240.57
Mon Apr 09 10:16:35 PDT 2012, 4741, 8460, -1.0, 10.33.60.21
Mon Apr 09 23:34:07 PDT 2012, 4869, 8460, -1.0, 10.2.160.250
Tue Apr 10 05:20:45 PDT 2012, 8212, 8460, -1.0, 10.2.160.250
Tue Apr 10 05:21:28 PDT 2012, 8195, 8460, -1.0, 10.2.160.250
Tue Apr 10 05:21:35 PDT 2012, 8191, 8460, -1.0, 10.2.160.250
Tue Apr 10 07:02:45 PDT 2012, 8294, 8460, -1.0, 10.2.160.250
Tue Apr 10 23:29:48 PDT 2012, 8361, 8460, -1.0, 10.2.160.250
Fri Apr 13 06:08:00 PDT 2012, 8265, 8460, -1.0, 10.2.160.250
Fri Apr 13 06:55:19 PDT 2012, 7877, 8460, -1.0, 10.2.160.250
Fri Apr 13 09:18:13 PDT 2012, 7748, 8460, -1.0, 172.18.240.57
Fri Apr 13 12:06:19 PDT 2012, 7814, 8460, -1.0, 172.18.240.57
Fri Apr 13 12:18:09 PDT 2012, 2986, 8460, -1.0, 172.18.240.57
Tue Apr 17 12:48:16 PDT 2012, 8389, 8460, 0.0, 10.2.160.250
Wed Apr 18 00:26:23 PDT 2012, 2201, 2380, 0.0, 10.2.160.250
Wed Apr 18 00:27:58 PDT 2012, 2369, 2380, 0.0, 10.2.160.250
Wed Apr 18 06:18:49 PDT 2012, 2195, 2380, 0.0, 10.2.160.250
Wed Apr 18 11:53:26 PDT 2012, 2129, 2380, 0.0, 10.45.2.34
Thu Apr 19 01:23:41 PDT 2012, 2729, 2956, 0.0, 10.2.160.250
Sun Apr 22 20:21:49 PDT 2012, 2754, 2956, 0.0, 10.2.160.250
Tue Apr 24 22:37:45 PDT 2012, 2877, 2956, 0.0, 10.2.160.250
Tue Apr 24 22:38:21 PDT 2012, 2877, 2956, 0.0, 10.2.160.250
Date, free, total, cpu, remote
Thu Apr 05 02:36:10 PDT 2012, 1165, 1187, -1.0, 10.2.160.250
Thu Apr 05 02:46:47 PDT 2012, 942, 1187, -1.0, 10.2.160.250
Fri Apr 06 13:46:43 PDT 2012, 2296, 2355, -1.0, 172.18.240.57
Fri Apr 06 13:47:54 PDT 2012, 2273, 2355, -1.0, 172.18.240.57
Fri Apr 06 14:03:25 PDT 2012, 1018, 6994, -1.0, 172.18.240.57
Fri Apr 06 14:03:25 PDT 2012, 995, 6994, -1.0, 172.18.240.57
Fri Apr 06 14:14:41 PDT 2012, 2202, 8460, -1.0, 172.18.240.57
Fri Apr 06 14:31:08 PDT 2012, 929, 8460, -1.0, 172.18.240.57
Fri Apr 06 14:31:09 PDT 2012, 868, 8460, -1.0, 172.18.240.57
Fri Apr 06 14:34:26 PDT 2012, 833, 8460, -1.0, 172.18.240.57
Fri Apr 06 14:35:20 PDT 2012, 957, 8460, -1.0, 172.18.240.57
Mon Apr 09 13:14:10 PDT 2012, 4882, 8460, -1.0, 10.33.62.42
Mon Apr 09 13:20:43 PDT 2012, 4866, 8460, -1.0, 10.45.3.250
Mon Apr 09 13:27:57 PDT 2012, 4819, 8460, -1.0, 10.45.3.2
Mon Apr 09 13:28:02 PDT 2012, 4817, 8460, -1.0, 10.45.3.250
Mon Apr 09 13:28:55 PDT 2012, 4815, 8460, -1.0, 10.45.3.250
Mon Apr 09 13:29:25 PDT 2012, 4811, 8460, -1.0, 10.45.3.8
Mon Apr 09 13:29:26 PDT 2012, 4811, 8460, -1.0, 10.45.2.190
Mon Apr 09 13:29:37 PDT 2012, 4802, 8460, -1.0, 10.45.3.8
Mon Apr 09 13:32:51 PDT 2012, 4799, 8460, -1.0, 167.116.197.127
Mon Apr 09 13:33:13 PDT 2012, 4604, 8460, -1.0, 167.116.197.127
Mon Apr 09 13:33:16 PDT 2012, 4604, 8460, -1.0, 167.116.197.127
Mon Apr 09 13:33:19 PDT 2012, 4602, 8460, -1.0, 167.116.197.127
Mon Apr 09 13:33:20 PDT 2012, 4601, 8460, -1.0, 167.116.197.127
Mon Apr 09 14:20:19 PDT 2012, 4769, 8460, -1.0, 167.116.39.48
Mon Apr 09 14:30:09 PDT 2012, 4747, 8460, -1.0, 10.45.1.135
Mon Apr 09 16:06:47 PDT 2012, 4884, 8460, -1.0, 10.45.3.250
Mon Apr 09 16:28:45 PDT 2012, 1648, 8460, -1.0, 10.45.3.250
Mon Apr 09 23:34:10 PDT 2012, 6399, 8460, -1.0, 10.2.160.250
Mon Apr 09 23:34:21 PDT 2012, 6394, 8460, -1.0, 10.2.160.250
Mon Apr 09 23:39:55 PDT 2012, 2278, 2355, -1.0, 10.2.160.250
Mon Apr 09 23:41:58 PDT 2012, 740, 6180, -1.0, 10.2.160.250
Tue Apr 10 00:28:27 PDT 2012, 2189, 6411, -1.0, 10.2.160.250
Tue Apr 10 00:28:39 PDT 2012, 2055, 6411, -1.0, 10.2.160.250
Date, free, total, cpu, remote
Wed Apr 04 02:54:33 EDT 2012, 1138, 1187, -1.0, 10.64.3.11
Wed Apr 04 03:15:31 EDT 2012, 1120, 1187, -1.0, 10.64.3.11
Wed Apr 04 03:15:47 EDT 2012, 1115, 1187, -1.0, 10.64.3.11
Wed Apr 04 07:32:21 EDT 2012, 1131, 1187, -1.0, 10.64.3.11
Mon Apr 09 21:13:10 EDT 2012, 1158, 1187, -1.0, 10.45.1.133
Tue Apr 10 08:55:24 EDT 2012, 827, 1187, -1.0, 10.2.160.250
Wed Apr 11 02:30:18 EDT 2012, 863, 1187, -1.0, 10.2.160.250
Tue Apr 17 07:37:27 EDT 2012, 857, 1187, -1.0, 10.2.160.250
Tue Apr 17 14:39:58 EDT 2012, 1144, 1187, 0.0, 10.2.160.250
Tue Apr 17 14:48:16 EDT 2012, 986, 1187, 0.0, 10.2.160.250
Wed Apr 18 03:24:10 EDT 2012, 1112, 1187, 0.0, 10.2.160.250
Thu Apr 19 03:28:16 EDT 2012, 1077, 1187, 0.0, 10.2.160.250
Thu Apr 19 04:23:00 EDT 2012, 886, 2088, 0.0, 10.2.160.250
Thu Apr 19 04:23:55 EDT 2012, 891, 2088, 0.0, 10.2.160.250
Fri Apr 20 09:43:06 EDT 2012, 2070, 2204, 0.0, 10.25.1.163
Fri Apr 20 12:15:22 EDT 2012, 2234, 6309, 0.0, 10.25.1.163
Sat Apr 21 03:03:28 EDT 2012, 3309, 6313, 0.0, 10.2.160.250
Sat Apr 21 03:06:38 EDT 2012, 1141, 6313, 0.0, 10.2.160.250
Tue Apr 24 05:40:13 EDT 2012, 6144, 6313, 0.0, 10.2.160.250
Tue Apr 24 05:40:32 EDT 2012, 6141, 6313, 0.0, 10.2.160.250
Wed Apr 25 01:37:22 EDT 2012, 1096, 1187, 0.0, 10.2.160.250
Wed Apr 25 08:35:43 EDT 2012, 1102, 1187, 0.0, 10.2.160.250
Wed Apr 25 10:37:31 EDT 2012, 1101, 1187, 0.0, 10.2.160.250
Wed Apr 25 11:45:11 EDT 2012, 1161, 1187, 0.0, 10.2.160.250
Wed Apr 25 11:46:16 EDT 2012, 1157, 1187, 0.0, 10.2.160.250
Wed Apr 25 14:01:54 EDT 2012, 1035, 1187, 0.0, 10.2.160.250
Date, free, total, cpu, remote
Wed Apr 04 00:09:34 PDT 2012, 2174, 2355, -1.0, 10.64.3.11
Wed Apr 04 00:15:21 PDT 2012, 1707, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:23:56 PDT 2012, 2234, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:24:31 PDT 2012, 2097, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:24:50 PDT 2012, 2092, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:26:22 PDT 2012, 1796, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:27:05 PDT 2012, 1790, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:32:53 PDT 2012, 2229, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:32:56 PDT 2012, 2225, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:33:36 PDT 2012, 2056, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:35:35 PDT 2012, 1171, 2593, -1.0, 10.64.3.11
Wed Apr 04 02:37:57 PDT 2012, 2202, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:38:06 PDT 2012, 2161, 2355, -1.0, 10.64.3.11
Wed Apr 04 02:38:06 PDT 2012, 2161, 2355, -1.0, 10.64.3.11
Wed Apr 04 04:31:19 PDT 2012, 2308, 2355, -1.0, 10.64.3.11
Wed Apr 04 08:41:27 PDT 2012, 2284, 2355, -1.0, 10.2.160.250
Wed Apr 04 09:16:33 PDT 2012, 2288, 2355, -1.0, 10.45.1.133
Wed Apr 04 09:35:14 PDT 2012, 2016, 2355, -1.0, 10.45.1.133
Wed Apr 04 10:59:50 PDT 2012, 2267, 2355, -1.0, 10.45.1.133
Wed Apr 04 13:08:48 PDT 2012, 1728, 2355, -1.0, 10.45.1.133
Mon Apr 09 12:59:07 PDT 2012, 1791, 2355, -1.0, 10.45.1.133
Mon Apr 09 14:16:22 PDT 2012, 1200, 2355, -1.0, 10.45.1.133
Mon Apr 09 14:25:59 PDT 2012, 506, 2355, -1.0, 10.45.1.133
Mon Apr 09 14:41:23 PDT 2012, 360, 2355, -1.0, 10.45.1.133
Tue Apr 10 05:56:42 PDT 2012, 2192, 2355, -1.0, 10.2.160.250
Tue Apr 10 09:54:32 PDT 2012, 2226, 2355, -1.0, 10.45.1.133
Tue Apr 10 12:01:47 PDT 2012, 2295, 2355, -1.0, 10.45.6.155
Tue Apr 10 14:05:53 PDT 2012, 2272, 2355, -1.0, 10.45.1.133
Tue Apr 10 17:05:27 PDT 2012, 2272, 2355, -1.0, 10.45.6.130
Tue Apr 10 23:30:06 PDT 2012, 2133, 2355, -1.0, 10.2.160.250
Thu Apr 12 11:34:41 PDT 2012, 2086, 2355, -1.0, 10.45.1.245
Thu Apr 12 11:35:03 PDT 2012, 2215, 2355, -1.0, 10.45.1.245
Thu Apr 12 13:01:06 PDT 2012, 1097, 2355, -1.0, 172.18.240.101
Thu Apr 12 17:39:57 PDT 2012, 1245, 2355, -1.0, 10.45.1.133
Fri Apr 13 10:42:41 PDT 2012, 1431, 3538, -1.0, 10.45.1.133
Fri Apr 13 16:55:29 PDT 2012, 1721, 3758, -1.0, 10.45.1.133
Mon Apr 16 10:07:20 PDT 2012, 2493, 3758, -1.0, 10.45.1.133
Mon Apr 16 10:07:40 PDT 2012, 2491, 3758, -1.0, 10.45.1.133
Mon Apr 16 10:48:24 PDT 2012, 2027, 3758, -1.0, 10.45.1.133
Mon Apr 16 10:53:36 PDT 2012, 662, 3758, -1.0, 10.45.1.133
Mon Apr 16 10:54:28 PDT 2012, 635, 3758, -1.0, 10.45.1.133
Mon Apr 16 11:06:57 PDT 2012, 1560, 3758, -1.0, 10.45.1.133
Mon Apr 16 11:07:01 PDT 2012, 1558, 3758, -1.0, 10.45.1.133
Mon Apr 16 13:09:43 PDT 2012, 2722, 3825, -1.0, 10.45.1.133
Mon Apr 16 13:09:46 PDT 2012, 2704, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:49:39 PDT 2012, 2622, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:55:42 PDT 2012, 2274, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:55:56 PDT 2012, 2271, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:59:10 PDT 2012, 1836, 3825, -1.0, 10.45.1.133
Tue Apr 17 11:35:09 PDT 2012, 2426, 3825, 0.0, 10.45.1.133
Tue Apr 17 11:38:47 PDT 2012, 2399, 3825, 0.0, 10.2.160.250
Tue Apr 17 15:04:43 PDT 2012, 1498, 2355, 0.0, 10.45.1.133
Tue Apr 17 15:19:49 PDT 2012, 1052, 2355, 0.0, 10.45.1.133
Wed Apr 18 00:16:04 PDT 2012, 2295, 2355, 0.0, 10.2.160.250
Wed Apr 18 00:16:28 PDT 2012, 2094, 2355, 0.0, 10.2.160.250
Wed Apr 18 00:24:05 PDT 2012, 2085, 2355, 0.0, 10.2.160.250
Wed Apr 18 09:39:29 PDT 2012, 2331, 2355, 0.0, 10.45.1.133
Wed Apr 18 13:43:29 PDT 2012, 2292, 2355, 0.0, 10.45.1.133
Wed Apr 18 13:51:41 PDT 2012, 1125, 2355, 0.0, 10.45.1.133
Wed Apr 18 14:56:44 PDT 2012, 2132, 2355, 0.0, 10.45.1.133
Wed Apr 18 15:05:46 PDT 2012, 2024, 2355, 0.0, 10.45.1.133
Wed Apr 18 17:41:29 PDT 2012, 2135, 2355, 0.0, 10.45.1.133
Wed Apr 18 17:53:22 PDT 2012, 1787, 2355, 0.0, 10.45.1.133
Thu Apr 19 00:27:46 PDT 2012, 2246, 2355, 0.0, 10.2.160.250
Thu Apr 19 01:23:04 PDT 2012, 2220, 2355, 0.0, 10.2.160.250
Thu Apr 19 09:51:48 PDT 2012, 2311, 2355, 0.0, 10.45.1.133
Thu Apr 19 09:53:31 PDT 2012, 1852, 2355, 0.0, 10.45.1.133
Thu Apr 19 10:29:30 PDT 2012, 1836, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:02:18 PDT 2012, 1992, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:07:03 PDT 2012, 1970, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:07:31 PDT 2012, 1969, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:47:40 PDT 2012, 2059, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:53:05 PDT 2012, 2051, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:54:46 PDT 2012, 1893, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:55:14 PDT 2012, 1893, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:56:01 PDT 2012, 1782, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:57:22 PDT 2012, 1697, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:58:25 PDT 2012, 1679, 2355, 0.0, 10.45.1.133
Fri Apr 20 09:41:08 PDT 2012, 2048, 2355, 0.0, 10.45.1.133
Fri Apr 20 10:17:27 PDT 2012, 1586, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:06:05 PDT 2012, 1863, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:12:48 PDT 2012, 1727, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:49:11 PDT 2012, 1710, 2355, 0.0, 10.2.160.250
Mon Apr 23 10:52:22 PDT 2012, 1835, 2355, 0.0, 10.45.1.133
Mon Apr 23 11:51:09 PDT 2012, 1304, 2355, 0.0, 10.45.1.133
Mon Apr 23 13:47:00 PDT 2012, 1792, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:23:57 PDT 2012, 1657, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:24:02 PDT 2012, 1638, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:36:36 PDT 2012, 1633, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:01:13 PDT 2012, 1524, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:22:08 PDT 2012, 1416, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:23:03 PDT 2012, 1414, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:25:27 PDT 2012, 506, 3315, 0.0, 10.45.1.133
Tue Apr 24 04:33:48 PDT 2012, 3282, 3315, 0.0, 10.2.160.250
Tue Apr 24 05:11:25 PDT 2012, 3266, 3315, 0.0, 10.2.160.250
Wed Apr 25 06:00:45 PDT 2012, 1109, 1187, 0.0, 10.2.160.250
Wed Apr 25 09:22:35 PDT 2012, 1174, 1187, 0.0, 10.45.1.133
Wed Apr 25 09:39:42 PDT 2012, 1060, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:38:03 PDT 2012, 1123, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:44:58 PDT 2012, 584, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:45:11 PDT 2012, 582, 1187, 0.0, 10.45.1.133
Wed Apr 25 13:41:54 PDT 2012, 198, 1321, 0.0, 10.45.1.133
Wed Apr 25 14:52:55 PDT 2012, 974, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:14:08 PDT 2012, 240, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:14:24 PDT 2012, 239, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:25:07 PDT 2012, 208, 1338, 0.0, 10.45.1.133
Wed Apr 25 16:07:53 PDT 2012, 938, 1338, 0.0, 10.45.1.133
Wed Apr 25 16:11:20 PDT 2012, 518, 1338, 0.0, 10.45.1.133
Date, free, total, cpu, remote
Thu Apr 05 05:39:32 EDT 2012, 2221, 2380, -1.0, 10.2.160.250
Thu Apr 05 05:52:26 EDT 2012, 2246, 2380, -1.0, 10.2.160.250
Tue Apr 10 08:21:43 EDT 2012, 2249, 2380, -1.0, 10.2.160.250
Tue Apr 10 08:54:58 EDT 2012, 2234, 2380, -1.0, 10.2.160.250
Tue Apr 17 15:48:36 EDT 2012, 2304, 2380, 0.0, 10.2.160.250
Wed Apr 18 09:23:31 EDT 2012, 2285, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:16:44 EDT 2012, 2351, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:16:57 EDT 2012, 2348, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:28:49 EDT 2012, 2293, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:40:34 EDT 2012, 1875, 2380, 0.0, 10.2.160.250
Tue Apr 24 04:20:57 EDT 2012, 2282, 2380, 0.0, 10.2.160.250
Tue Apr 24 07:34:55 EDT 2012, 2358, 2380, 0.0, 10.2.160.250
